model,dropped_group,feature_count,pnl,delta_pnl,rmse,directional_accuracy,ci_lower,ci_upper,num_trades,num_bootstrap,classification
LR,none,51,56.5391,0.0,0.219224,62.05,0.0,0.0,977,1000,baseline
XGBoost,none,51,54.0006,0.0,0.223381,60.8,0.0,0.0,976,1000,baseline
LR,A,36,53.206,-3.3331,0.224149,61.22,-6.8037,-0.122,962,1000,droppable
LR,B,41,56.7218,0.1827,0.219101,62.05,-0.5058,1.0487,979,1000,droppable
LR,C,45,56.2268,-0.3123,0.216832,61.77,-2.0606,1.3238,990,1000,droppable
LR,D,38,56.5353,-0.0038,0.218696,61.91,-0.8752,0.7199,980,1000,droppable
LR,E,44,56.7705,0.2314,0.219302,61.91,-0.2958,0.9901,979,1000,droppable
XGBoost,A,36,52.3223,-1.6784,0.224765,61.36,-5.6708,2.4015,965,1000,droppable
XGBoost,B,41,55.0795,1.0789,0.226549,60.66,-1.4781,4.051,968,1000,droppable
XGBoost,C,45,53.593,-0.4076,0.22424,61.22,-3.7384,2.9855,991,1000,droppable
XGBoost,D,38,53.428,-0.5726,0.229502,60.66,-4.3045,2.6599,977,1000,droppable
XGBoost,E,44,52.8509,-1.1497,0.23162,61.08,-4.5559,2.0118,969,1000,droppable
