2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 1: Loading accepted pairs
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Loaded 77 accepted pairs from data/processed/accepted_pairs.json
2026-04-04 18:11:03 INFO __main__: Stage 1 complete in 0.0s
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:03 INFO __main__: Stage 2: Fetching raw trades
2026-04-04 18:11:03 INFO __main__: ============================================================
2026-04-04 18:11:10 INFO src.data.trade_fetcher: Processed 10/77 pairs
2026-04-04 18:11:16 INFO src.data.trade_fetcher: Processed 20/77 pairs
2026-04-04 18:11:29 INFO src.data.trade_fetcher: Processed 30/77 pairs
2026-04-04 18:11:50 INFO src.data.trade_fetcher: Processed 40/77 pairs
2026-04-04 18:12:06 INFO src.data.trade_fetcher: Processed 50/77 pairs
2026-04-04 18:12:13 INFO src.data.trade_fetcher: Processed 60/77 pairs
2026-04-04 18:12:32 INFO src.data.trade_fetcher: Processed 70/77 pairs
2026-04-04 18:12:38 INFO src.data.trade_fetcher: Trade fetch complete. Stats: {'kalshi_fetched': 74, 'kalshi_cached': 0, 'kalshi_empty': 3, 'polymarket_fetched': 77, 'polymarket_cached': 0, 'polymarket_empty': 0}
2026-04-04 18:12:38 INFO __main__: Trade fetch stats: {
  "kalshi_fetched": 74,
  "kalshi_cached": 0,
  "kalshi_empty": 3,
  "polymarket_fetched": 77,
  "polymarket_cached": 0,
  "polymarket_empty": 0
}
2026-04-04 18:12:38 INFO __main__: Stage 2 complete in 95.0s
2026-04-04 18:12:38 INFO __main__: ============================================================
2026-04-04 18:12:38 INFO __main__: Stage 3: Reconstructing candles from raw trades
2026-04-04 18:12:38 INFO __main__: ============================================================
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 2 candles from 3 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 11 candles from 16 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 16 candles from 31 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 133 candles from 1105 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 82 candles from 351 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 91 candles from 417 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 47 candles from 213 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 24 candles from 104 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 59 candles from 367 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 48 candles from 325 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 25 candles from 140 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 64 candles from 221 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 31 candles from 83 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 6 candles from 8 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 4 candles from 6 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 94 candles from 341 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 29 candles from 58 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 33 candles from 110 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 15 candles from 25 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 49 candles from 181 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 61 candles from 331 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 40 candles from 211 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 33 candles from 85 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 84 candles from 287 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 148 candles from 1649 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 165 candles from 2778 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 169 candles from 1631 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 137 candles from 731 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 71 candles from 258 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 62 candles from 204 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 93 candles from 528 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 162 candles from 1877 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 177 candles from 4751 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 180 candles from 3593 trades (bar_seconds=14400)
2026-04-04 18:12:39 INFO src.data.trade_reconstructor: Reconstructed 168 candles from 2311 trades (bar_seconds=14400)
