2026-04-05 12:09:23 INFO __main__: ============================================================
2026-04-05 12:09:23 INFO __main__: Stage 1: Loading accepted pairs
2026-04-05 12:09:23 INFO __main__: ============================================================
2026-04-05 12:09:23 INFO __main__: Loaded 212 accepted pairs from data/processed/all_pairs.json
2026-04-05 12:09:23 INFO __main__: Stage 1 complete in 0.0s
2026-04-05 12:09:23 INFO __main__: ============================================================
2026-04-05 12:09:23 INFO __main__: Stage 2: Fetching raw trades
2026-04-05 12:09:23 INFO __main__: ============================================================
2026-04-05 12:09:23 INFO src.data.trade_fetcher: Processed 10/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 20/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 30/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 40/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 50/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 60/212 pairs
2026-04-05 12:09:24 INFO src.data.trade_fetcher: Processed 70/212 pairs
2026-04-05 12:09:29 ERROR src.data.trade_fetcher: Polymarket trades error at offset 3500: 400 Client Error: Bad Request for url: https://data-api.polymarket.com/trades?market=0x0740971434d78fc1b374520e1dc8f70b686f90422f6813ee298f4b78bf7f9c86&limit=500&offset=3500
2026-04-05 12:09:29 INFO src.data.trade_fetcher: Processed 80/212 pairs
2026-04-05 12:09:38 INFO src.data.trade_fetcher: Processed 90/212 pairs
2026-04-05 12:09:44 INFO src.data.trade_fetcher: Processed 100/212 pairs
2026-04-05 12:09:56 INFO src.data.trade_fetcher: Processed 110/212 pairs
2026-04-05 12:10:03 INFO src.data.trade_fetcher: Processed 120/212 pairs
2026-04-05 12:10:10 INFO src.data.trade_fetcher: Processed 130/212 pairs
2026-04-05 12:10:19 INFO src.data.trade_fetcher: Processed 140/212 pairs
2026-04-05 12:10:35 INFO src.data.trade_fetcher: Processed 150/212 pairs
2026-04-05 12:10:45 INFO src.data.trade_fetcher: Processed 160/212 pairs
2026-04-05 12:10:54 INFO src.data.trade_fetcher: Processed 170/212 pairs
2026-04-05 12:11:01 INFO src.data.trade_fetcher: Processed 180/212 pairs
2026-04-05 12:11:07 INFO src.data.trade_fetcher: Processed 190/212 pairs
2026-04-05 12:11:17 ERROR src.data.trade_fetcher: Polymarket trades error at offset 3500: 400 Client Error: Bad Request for url: https://data-api.polymarket.com/trades?market=0x5bf005155ef085c7f79cef880b60e208551fd3f66a54dc94a11c75bfcb5e8f6e&limit=500&offset=3500
2026-04-05 12:11:17 INFO src.data.trade_fetcher: Processed 200/212 pairs
2026-04-05 12:11:25 INFO src.data.trade_fetcher: Processed 210/212 pairs
2026-04-05 12:11:27 INFO src.data.trade_fetcher: Trade fetch complete. Stats: {'kalshi_fetched': 127, 'kalshi_cached': 74, 'kalshi_empty': 11, 'polymarket_fetched': 126, 'polymarket_cached': 77, 'polymarket_empty': 9}
2026-04-05 12:11:27 INFO __main__: Trade fetch stats: {
  "kalshi_fetched": 127,
  "kalshi_cached": 74,
  "kalshi_empty": 11,
  "polymarket_fetched": 126,
  "polymarket_cached": 77,
  "polymarket_empty": 9
}
2026-04-05 12:11:27 INFO __main__: Stage 2 complete in 124.0s
2026-04-05 12:11:27 INFO __main__: ============================================================
2026-04-05 12:11:27 INFO __main__: Stage 3: Reconstructing candles from raw trades
2026-04-05 12:11:27 INFO __main__: ============================================================
2026-04-05 12:11:27 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-05 12:11:27 INFO src.data.trade_reconstructor: Reconstructed 23 candles from 371 trades (bar_seconds=14400)
2026-04-05 12:11:27 INFO src.data.trade_reconstructor: Reconstructed 30 candles from 260 trades (bar_seconds=14400)
2026-04-05 12:11:27 INFO src.data.trade_reconstructor: Reconstructed 36 candles from 432 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 33 candles from 332 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 2 candles from 3 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 11 candles from 16 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 16 candles from 31 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 133 candles from 1105 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 82 candles from 351 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 91 candles from 417 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 47 candles from 213 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 24 candles from 104 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 59 candles from 367 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 48 candles from 325 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 25 candles from 140 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 64 candles from 221 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 31 candles from 83 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 6 candles from 8 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 3 candles from 4 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 4 candles from 6 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 94 candles from 341 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 29 candles from 58 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 33 candles from 110 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 15 candles from 25 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 1 candles from 1 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 49 candles from 181 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 61 candles from 331 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 40 candles from 211 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 33 candles from 85 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 84 candles from 287 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 148 candles from 1649 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 165 candles from 2778 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 169 candles from 1631 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 137 candles from 731 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 71 candles from 258 trades (bar_seconds=14400)
2026-04-05 12:11:28 INFO src.data.trade_reconstructor: Reconstructed 62 candles from 204 trades (bar_seconds=14400)
